Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
153,Pierre Garcon,SF,wr,11,LAR,8.2,"$4,500 "
102,Royce Freeman,DEN,rb,10,@ARZ,8.2,"$3,800 "
338,Patriots DST,NE,dst,11,@CHI,8.2,"$2,400 "
104,Duke Johnson Jr.,CLV,rb,11,@TB,8.1,"$4,000 "
339,Eagles DST,PHI,dst,9,CAR,8.1,"$2,600 "
340,Bears DST,CHI,dst,5,NE,8.1,"$2,500 "
105,Ricky Seals-Jones,ARZ,te,9,DEN,7.9,"$3,300 "
341,Colts DST,IND,dst,9,BUF,7.9,"$3,300 "
155,Anthony Miller,CHI,wr,5,NE,7.8,"$3,400 "
154,Brian Quick,WAS,wr,4,DAL,7.8,"$3,000 "
342,Buccaneers DST,TB,dst,5,CLV,7.7,"$2,300 "
130,Justin Jackson,LAC,rb,8,TEN,7.6,"$3,000 "
343,Redskins DST,WAS,dst,4,DAL,7.5,"$2,900 "
156,Laquon Treadwell,MIN,wr,10,@NYJ,7.5,"$3,500 "
131,Chris Ivory,BUF,rb,11,@IND,7.5,"$3,800 "
132,Benjamin Watson,NO,te,6,@BLT,7.4,"$3,000 "
133,Trey Burton,CHI,te,5,NE,7.4,"$4,300 "
344,Falcons DST,ATL,dst,8,NYG,7.4,"$2,500 "
345,Jets DST,NYJ,dst,11,MIN,7.4,"$2,100 "
346,Chargers DST,LAC,dst,8,TEN,7.4,"$2,900 "
168,Zay Jones,BUF,wr,11,@IND,7.3,"$3,700 "
134,Mark Andrews,BLT,te,10,NO,7.3,"$2,600 "
